Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
Banco do Brasil,BBTS_IA_renegociacao_dividas_whatsapp_2026_07_14,"Em 14/07/2026, a Let's Money reportou que a BBTS, com AWS e BRQ Digital Solutions, colocou uma IA generativa no WhatsApp para renegociacao de dividas do Banco do Brasil, com +306% em conversoes e cerca de 50% das interacoes concluidas sem atendente.",BBTS;AWS;BRQ_Digital_Solutions;WhatsApp,IA_aplicada_a_cobranca_e_renegociacao_digital,Altissimo,Alto,Muito alta,https://www.letsmoney.com.br/noticias/ia-banco-do-brasil-negocia-divida-whatsapp/
Banco do Brasil,Plataforma_IA_conversacional_2026_07_08,"Em 08/07/2026, o Banco do Brasil lancou plataforma de IA integrada a servicos e canais para permitir operacoes por conversas em linguagem natural no aplicativo e em outros pontos de contato.",IA_Generativa;Canais_Digitais;Linguagem_Natural;App_BB,Orquestracao_conversacional_de_atendimento_e_servicos,Altissimo,Alto,Muito alta,https://www.bb.com.br/pbb/pagina-inicial/imprensa/n/69198/bb-lanca-plataforma-de-ia-que-transforma-atendimento-em-conversas
Banco do Brasil,Acordo_UnB_Pesquisa_Aplicada_IA_2026_07_03,"Em 03/07/2026, a UnB detalhou a cooperacao tecnico-cientifica com o Banco do Brasil para desenvolver pesquisas, projetos de inovacao e capacitacao em IA, dados, seguranca digital e experiencia do usuario ao longo de 24 meses.",UnB;PCTec;Seguranca_Digital;Analitica,Parceria_de_pesquisa_aplicada_e_formacao_em_tecnologia,Altissimo,Medio,Muito alta,https://noticias.unb.br/117-pesquisa/8628-parceria-entre-unb-e-banco-do-brasil-tem-foco-em-pesquisas-em-ia
Banco do Brasil,Celent_Model_Bank_2026_06_16,"Em 16/06/2026, a Let's Money reportou que o Banco do Brasil foi eleito Banco do Ano pelo Celent Model Bank 2026, com destaque para uso de IA e analytics em larga escala.",Celent;Analytics;IA;Tecnologia_Digital,Reconhecimento_externo_da_estrategia_digital_e_de_IA,Altissimo,Medio,Alta,https://www.letsmoney.com.br/noticias/bb-banco-ano-celent-model-bank/
CAIXA,Abono_Salarial_CAIXA_Tem_Poupanca_Social_Digital_2026_07_14,"Em 14/07/2026, a CAIXA informou pagamento de mais de R$ 4,8 bilhoes de Abono Salarial com distribuicao por conta CAIXA, abertura automatica de Poupanca Social Digital e uso do app CAIXA Tem, alem de alternativas por biometria.",CAIXA_Tem;Poupanca_Social_Digital;Biometria;Abono_Salarial,Escala_operacional_digital_em_pagamentos_sociais,Altissimo,Medio,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/07-JULHO/ABONO-SALARIAL-CAIXA-paga-mais-de-R-48-bilhoes-aos-trabalhadores-nascidos-em-setembro-e-outubro.aspx
CAIXA,Universidade_Corporativa_Luxortec_2026_07_02,"Em 02/07/2026, a InforChannel reportou que a Universidade Corporativa CAIXA foi modernizada para cerca de 150 mil usuarios, com IA, metaverso e gamificacao implementados pela Luxortec.",InforChannel;Luxortec;Universidade_CAIXA;IA,Cobertura_setorial_sobre_modernizacao_da_educacao_corporativa,Altissimo,Medio,Muito alta,https://inforchannel.com.br/2026/07/02/universidade-corporativa-caixa-adota-sistema-de-educacao-digital-para-150-mil-usuarios/
CAIXA,Sandbox_CAIXA_Global_Finance_2026_06_15,"Em 15/06/2026, a Global Finance listou o Sandbox CAIXA entre os melhores laboratorios de inovacao financeira de 2026, destacando foco em fraude, IA, eficiencia operacional, inclusao financeira e atendimento.",Global_Finance;Sandbox_CAIXA;IA;Fraude,Reconhecimento_internacional_de_laboratorio_de_inovacao,Altissimo,Medio,Muito alta,https://gfmag.com/award/award-winners/best-financial-innovation-labs-2026/
CAIXA,SISBAJUD_acordo_CNJ_2026_05_11,"Em 11/05/2026, o CNJ informou acordo com instituicoes financeiras, incluindo a CAIXA, para aperfeicoar o SISBAJUD, reforcando integracao, governanca e automacao em trilha sensivel de dados e ordens judiciais.",CNJ;SISBAJUD;Judiciario;CAIXA,Integracao_institucional_com_efeito_em_governanca_e_dados,Altissimo,Alto,Alta,https://www.cnj.jus.br/ministro-fachin-assina-acordo-com-instituicoes-financeiras-para-aperfeicoar-sisbajud/
BRB,Atualizacao_operacao_divulgada_20_abril_2026_07_17,"Em 17/07/2026, a pagina de Documentos CVM do BRB passou a destacar fato relevante de atualizacao sobre a operacao divulgada em 20 de abril de 2026, mantendo o caso no centro do monitoramento institucional do banco.",Banco_Master;Operacao_20_Abril;Documentos_CVM;Governanca,Atualizacao_formal_de_operacao_sensivel_com_efeito_em_governanca,Altissimo,Altissimo,Muito alta,https://ri.brb.com.br/pt/documentos-cvm
BRB,Posse_DIPES_2026_07_02,"Em 02/07/2026, o BRB publicou fato relevante de Posse DIPES, mantendo a reorganizacao executiva em diretoria critica para governanca e pessoas.",BRB;DIPES;Governanca;Diretoria,Reorganizacao_executiva_em_area_sensivel,Alta,Alto,Muito alta,https://ri.brb.com.br/upload/files/4178_Fato-Relevante-Posse_DIPES__.pdf
