Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
Banco do Brasil,Capacitacao_IA_generativa_e_agentica_AcademIA_BB_2026,"O Banco do Brasil informou em 08/06/2026 que o AcademIA BB 2026 já engajou mais de 36 mil funcionários, combinando IA generativa e agêntica com curadoria humana, governança e mais de 3 milhões de horas de treinamento acumuladas.",Ecossistema_proprio,Programa_institucional_de_capacitacao_em_IA,Altíssimo,Alto,Muito alta,https://www.bb.com.br/pbb/pagina-inicial/imprensa/n/69153/
Banco do Brasil,Escala_publica_de_agentes_e_modelos_de_IA_2026,"A Let's Money publicou em 09/06/2026 que o Banco do Brasil já operava mais de 12 mil agentes do Copilot e 1.200 modelos de IA em produção, reforçando escala operacional pública para IA corporativa.",Microsoft;Let's_Money,Cobertura_setorial_sobre_escala_operacional_de_IA,Altíssimo,Alto,Muito alta,https://www.letsmoney.com.br/noticias/banco-do-brasil-academia-bb-ia-agentica/
Banco do Brasil,Boleto_com_Pix_Automatico_2026,"O Banco do Brasil anunciou em 28/04/2026 o boleto com Pix Automático para empresas, permitindo autorização única do pagador, recorrência via QR Code e integração com a API de cobrança do banco.",Ecossistema_proprio,Nova_solucao_de_pagamentos_recorrentes_com_Pix,Altíssimo,Médio,Muito alta,https://www.bb.com.br/pbb/pagina-inicial/imprensa/n/69086/bb-lanca-boleto-com-pix-automatico-para-empresas
Banco do Brasil,IA_pagamentos_agenticos_com_Visa_contexto_sustentado,"Contexto sustentado: BB e Visa realizaram em 11/03/2026 a primeira transação agêntica no Brasil em ambiente de produção controlado, com autenticação, tokenização e monitoramento de risco em tempo real.",Visa,Parceria_em_pagamentos_agenticos_com_controles_de_seguranca,Altíssimo,Médio,Alta,https://www.visa.com.br/sobre-a-visa/noticias-visa/nova-sala-de-imprensa/bb-visa-primeira-transacao-agentica-brasil.html
CAIXA,Universidade_Corporativa_digital_150_mil_usuarios,"A Capital Digital publicou em 26/06/2026 que a Universidade Corporativa Caixa adotou novo sistema digital para cerca de 150 mil usuários, com recursos de inteligência artificial, metaverso e gamificação.",Capital_Digital;Luxortec,Cobertura_setorial_sobre_modernizacao_da_educacao_corporativa,Altíssimo,Médio,Muito alta,https://capitaldigital.com.br/universidade-corporativa-caixa-adota-novo-sistema-de-educacao-digital-para-150-mil-usuarios/
CAIXA,Sandbox_CAIXA_Global_Finance_2026,"Em 15/06/2026, a CAIXA informou que o Sandbox CAIXA entrou na lista da Global Finance entre os melhores laboratórios de inovação financeira do mundo.",Global_Finance,Reconhecimento_internacional_de_laboratorio_de_inovacao,Altíssimo,Médio,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/06-JUNHO/CAIXA-alcanca-reconhecimento-internacional-com-laboratorio-de-inovacao.aspx
CAIXA,IA_aplicada_ao_suporte_juridico_CPSI_2026,"Em 28/01/2026, a CAIXA lançou a 8ª Chamada de Startups CAIXA para contratar solução de IA aplicada ao suporte jurídico, com Contrato Público para Solução Inovadora e investimento de até R$ 1,6 milhão.",Startups;Ecossistema_proprio,Chamada_publica_de_IA_para_area_juridica,Altíssimo,Médio-alto,Alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/01-JANEIRO/CAIXA-lanca-chamada-de-startups-para-contratar-solucao-em-IA-aplicada-ao-suporte-juridico.aspx
CAIXA,Modernizacao_do_SINAPI_2026,"Em 19/05/2026, a CAIXA lançou edital para selecionar até duas soluções para modernizar o SINAPI, com experimentação tecnológica e possibilidade de contratação de até R$ 3,2 milhões.",Ecossistema_proprio,Chamada_publica_para_modernizacao_de_base_critica,Altíssimo,Médio-alto,Alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/05-MAIO/CAIXA-lan%C3%A7a-edital-p%C3%BAblico-para-modernizar-o-SINAPI.aspx
BRB,Nota_imprensa_compliance_PCDF_23_06_2026,"Em 23/06/2026, o BRB informou que a operação da PCDF partiu de notícia-crime encaminhada pelo próprio banco após a identificação de irregularidades em movimentações financeiras e indícios de descumprimento de normas de compliance.",PCDF,Acionamento_institucional_de_compliance_e_controles,Altíssimo,Altíssimo,Muito alta,https://novo.brb.com.br/releases-imprensa/
BRB,Governanca_formal_tecnologia_competencias_2026,"A página oficial de competências do BRB, atualizada em junho de 2026, explicita que a Diretoria Executiva de Tecnologia responde por transformação digital, infraestrutura de TI, governança de dados, automação bancária e defesa cibernética.",Ecossistema_proprio,Governanca_formal_de_tecnologia_e_ciberseguranca,Alto,Alto,Alta,https://novo.brb.com.br/servico-de-informacao-ao-cidadao/institucional-2/competencias/
