Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
Banco do Brasil,Conectividade_SD-WAN,"O Banco do Brasil segue com sinal público muito forte em infraestrutura: modernizou 93% de suas quase 5 mil agências com SD-WAN, dois links e dois roteadores por unidade, com implementação pela Claro e tecnologia Huawei, além de expectativa de conclusão no 1º trimestre de 2026.",Claro; Huawei,Contratação_modernização_de_rede,Altíssimo,Alto,Muito alta,https://dplnews.com/claro-implanta-nova-rede-de-conectividade-nas-agencias-do-banco-do-brasil/
Banco do Brasil,Compras_TI_IP-SIP_e_suporte,"A página pública de Avisos e Editais do BB segue como um dos sinais mais acionáveis do radar ao expor RFP prorrogada até 12/02/2026 para possível contratação de solução integrada baseada em IP/SIP, composta por mesa financeira, terminais, conectores, sistema de gestão de atendimento, gravação de voz, monitoração e serviços adicionais com suporte e manutenção por 60 meses.",Não_informado,Pipeline_público_de_compras_TI,Altíssimo,Alto,Muito alta,https://bb.com.br/site/compras-contratacao-e-venda-de-imoveis/compras-e-contratacoes/avisos-e-editais/
Banco do Brasil,IA_pagamentos_agenticos,"O BB realizou com a Visa a primeira transação agêntica do Brasil em ambiente de produção controlado, com autenticação, tokenização e controles de segurança suportados pela rede da Visa.",Visa,Piloto_inovação_transacional,Alto,Alto,Muito alta,https://www.visa.com.br/sobre-a-visa/noticias-visa/nova-sala-de-imprensa/bb-visa-primeira-transacao-agentica-brasil.html
Banco do Brasil,Seguranca_engenharia_de_software,"O radar técnico oficial do Banco do Brasil reforçou a tese de segurança digital desde o design, com defesa explícita de IA aplicada ao desenvolvimento, arquiteturas resilientes e monitoramento como parte estrutural do ciclo de construção de sistemas.",Ecossistema_próprio,Evidência_institucional_de_prioridade_em_secure-by-design,Alto,Alto,Alta,https://radar.apps.bb.com.br/blogrtt/seguranca-digital-desde-o-comeco-como-o-design-esta-mudando-o-desenvolvimento-de-sistemas/99001
CAIXA,Pagamentos_offline,"A CAIXA mantém um dos sinais mais concretos do radar em inclusão e resiliência operacional com a solução de pagamentos offline para benefícios em regiões remotas, em parceria com Elo e Microsoft e com uso previsto nas Agências-Barco.",Elo; Microsoft,Parceria_consórcio_tecnológico,Altíssimo,Alto,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2024/06-JUNHO/No-ultimo-dia-de-Febraban-Tech-2024-CAIXA-apresenta-solucao-inovadora-para-pagamentos-offline.aspx
CAIXA,IA_juridico,"A CAIXA mantém a 8ª Chamada de Startups para contratação de solução de IA aplicada ao suporte jurídico, com CPSI de até R$ 1,6 milhão e foco em análise documental, inconsistências e indícios de fraude.",Startups,Chamada_pública_contratação_inovadora,Alto,Alto,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/01-JANEIRO/CAIXA-lanca-chamada-de-startups-para-contratar-solucao-em-IA-aplicada-ao-suporte-juridico.aspx
CAIXA,GovTech_TEIA_setor_publico,"A CAIXA reforçou publicamente a agenda de transformação digital para o setor público ao levar o hub TEIA CAIXA ao Smart City Expo Curitiba 2026, posicionando a plataforma como ambiente de conexão, experimentação e geração de soluções GovTech em cidades inteligentes, serviços públicos digitais, uso estratégico de dados e infraestrutura.",TEIA CAIXA; Startups,Plataforma_própria_de_inovação_e_codesenvolvimento,Alto,Alto,Alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/03-MAR%C3%87O/CAIXA-oferece-solu%C3%A7%C3%B5es-para-o-setor-p%C3%BAblico-no-Smart-City-Expo-Curitiba-2026-.aspx
BRB,Governanca_compliance_controle,"O BRB informou em nota oficial que entregou à Polícia Federal e ao Banco Central a primeira etapa do relatório preliminar de investigação independente conduzida com o escritório Machado Meyer Advogados e suporte técnico da Kroll, reforçando pressão por governança, controles, proteção de ativos e resposta institucional.",Machado Meyer Advogados; Kroll; Banco Central; Polícia Federal,Resposta_regulatória_e_de_governança,Altíssimo,Altíssimo,Muito alta,https://novo.brb.com.br/imprensa/nota-a-imprensa-03-02-2026/
BRB,Capital_regulatorio_suficiencia_patrimonial,"Em nota oficial de 19/01/2026, o BRB reafirmou suficiência patrimonial, operação normal e ausência de risco de intervenção, ao mesmo tempo em que explicitou apurações em curso com Banco Central, Machado Meyer e Kroll, plano de recomposição de capital e estudo para venda de ativos recuperados junto ao Banco Master.",Banco Central; Machado Meyer Advogados; Kroll; Banco Master; Governo do Distrito Federal,Resposta_regulatória_capital_e_governança,Altíssimo,Altíssimo,Muito alta,https://novo.brb.com.br/imprensa/nota-a-imprensa-19-01-2026/
BRB,Capital_regulatorio_e_continuidade,"Em nova nota oficial, o BRB informou que entregou ao Banco Central seu Plano de Capital, com ações preventivas de recomposição em até 180 dias, caso se confirme necessidade de aporte, reforçando a centralidade de capital, continuidade operacional e comunicação regulatória.",Banco Central; Governo do Distrito Federal,Resposta_regulatória_de_capital_e_continuidade,Altíssimo,Altíssimo,Muito alta,https://novo.brb.com.br/imprensa/nota-a-imprensa-06-02-2026/
