Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
Banco do Brasil,BBTS_IA_renegociacao_dividas_whatsapp_2026_07_14,"Em 14/07/2026, a Let's Money reportou que a BBTS, com AWS e BRQ Digital Solutions, colocou uma IA generativa no WhatsApp para renegociacao de dividas do Banco do Brasil, com +306% em conversoes e cerca de 50% das interacoes concluidas sem atendente.",BBTS;AWS;BRQ_Digital_Solutions;WhatsApp,IA_aplicada_a_cobranca_e_renegociacao_digital,Altissimo,Alto,Muito alta,https://www.letsmoney.com.br/noticias/ia-banco-do-brasil-negocia-divida-whatsapp/
Banco do Brasil,Plataforma_IA_conversacional_app_whatsapp_2026_07_09,"Em 09/07/2026, o Banco do Brasil informou o lancamento de uma plataforma de IA conversacional integrada ao aplicativo e ao WhatsApp, com multiplos agentes e um orquestrador central para executar jornadas em linguagem natural.",Aplicativo_BB;WhatsApp;IA_Conversacional;Agentes_de_IA,Orquestracao_de_canais_digitais_com_IA_conversacional,Altissimo,Medio,Muito alta,https://www.bb.com.br/pbb/pagina-inicial/imprensa/n/69198/bb-lanca-plataforma-de-ia-que-transforma-atendimento-em-conversas
Banco do Brasil,Acordo_UnB_Pesquisa_Aplicada_IA_2026_07_03,"Em 03/07/2026, a UnB detalhou a cooperacao tecnico-cientifica com o Banco do Brasil para desenvolver pesquisas, projetos de inovacao e capacitacao em IA, dados, seguranca digital e experiencia do usuario ao longo de 24 meses.",UnB;PCTec;Seguranca_Digital;Analitica,Parceria_de_pesquisa_aplicada_e_formacao_em_tecnologia,Altissimo,Medio,Muito alta,https://noticias.unb.br/117-pesquisa/8628-parceria-entre-unb-e-banco-do-brasil-tem-foco-em-pesquisas-em-ia
Banco do Brasil,AcademIA_BB_2026_06_09,"Em 09/06/2026, o Banco do Brasil informou que o AcademIA BB 2026 reuniu mais de 36 mil funcionarios em trilhas de IA generativa e agentica, com enfase em governanca e curadoria humana.",AcademIA_BB;IA_Generativa;IA_Agentica;Governanca,Capacitacao_em_escala_para_adocao_corporativa_de_IA,Altissimo,Medio,Muito alta,https://www.bb.com.br/pbb/pagina-inicial/imprensa/n/69153/
CAIXA,Bolsa_Familia_CAIXA_Tem_2026_07_17,"Em 17/07/2026, a CAIXA informou o inicio do pagamento de julho do Bolsa Familia com uso preferencial do app CAIXA Tem, possibilidade de saque sem cartao por biometria e antecipacao para municipios em emergencia.",CAIXA_Tem;Biometria;Bolsa_Familia;Beneficios_Sociais,Escala_operacional_digital_em_pagamentos_sociais,Altissimo,Medio,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/07-JULHO/CAIXA-inicia-pagamento-do-Bolsa-Fam%C3%ADlia-referente-ao-m%C3%AAs-de-julho-nesta-segunda-feira-%2820%29.aspx
CAIXA,Abono_Salarial_CAIXA_Tem_Poupanca_Social_Digital_2026_07_14,"Em 14/07/2026, a CAIXA informou pagamento de mais de R$ 4,8 bilhoes de Abono Salarial para mais de 3,8 milhoes de trabalhadores, com distribuicao por conta CAIXA, abertura automatica de Poupanca Social Digital, uso do app CAIXA Tem e saque por biometria.",CAIXA_Tem;Poupanca_Social_Digital;Biometria;Abono_Salarial,Escala_operacional_digital_em_pagamentos_sociais,Altissimo,Medio,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/07-JULHO/ABONO-SALARIAL-CAIXA-paga-mais-de-R-48-bilhoes-aos-trabalhadores-nascidos-em-setembro-e-outubro.aspx
CAIXA,TEIA_Startups_2026_07_13,"Em 13/07/2026, o Espaco TEIA CAIXA abriu inscricoes para um novo ciclo do Programa TEIA Startups, conectando startups a orgaos publicos, empresas, universidades e desafios estrategicos da CAIXA.",Espaco_TEIA_CAIXA;Startups;Universidades;Setor_Publico,Inovacao_aberta_e_formacao_de_pipeline_de_solucoes,Alta,Medio,Alta,https://hubteia.com.br/sua-startup-pode-ser-residente-do-espaco-teia-caixa/
CAIXA,Universidade_Corporativa_Luxortec_2026_07_02,"Em 02/07/2026, a InforChannel reportou que a Universidade Corporativa CAIXA foi modernizada para cerca de 150 mil usuarios, com IA, metaverso e gamificacao implementados pela Luxortec.",InforChannel;Luxortec;Universidade_CAIXA;IA,Cobertura_setorial_sobre_modernizacao_da_educacao_corporativa,Altissimo,Medio,Muito alta,https://inforchannel.com.br/2026/07/02/universidade-corporativa-caixa-adota-sistema-de-educacao-digital-para-150-mil-usuarios/
BRB,Formulario_de_Referencia_2025_listado_no_RI_2026_07_23,"Em 23/07/2026, o portal de RI do BRB listou o FRE - Formulario de Referencia 2025, adicionando um artefato formal novo ao pacote de governanca acompanhado por mercado, reguladores e stakeholders institucionais.",Formulario_de_Referencia;RI_BRB;Governanca;CVM,Atualizacao_formal_de_governanca_em_contexto_de_escrutinio,Alta,Altissimo,Alta,https://ri.brb.com.br/pt/noticias
BRB,Fato_Relevante_Atualizacao_Operacao_Quadra_2026_07_17,"Em 17/07/2026, o BRB publicou fato relevante com atualizacao sobre a operacao divulgada em 20 de abril de 2026 envolvendo a Quadra, mantendo o tema no centro da trilha de governanca e mercado.",Quadra;CVM;Governanca;Operacao_Quadra,Atualizacao_formal_de_operacao_sensivel_em_contexto_de_crise,Altissimo,Altissimo,Muito alta,https://ri.brb.com.br/upload/files/4182_Fato-Relevante-Atualizac-a-o-sobre-Operac-a-o-Divulgada-em-20-de-Abril-de-2026-.pdf
