Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
Banco do Brasil,Model_Bank_of_the_Year_Celent_2026,"A Celent publicou em 11 de junho de 2026 que o Banco do Brasil venceu o Model Bank of the Year 2026, citando as iniciativas EscutAI e OdisseIA como exemplos de uso de IA e analytics alinhados a crescimento, rentabilidade e centralidade no cliente.","Celent","Reconhecimento_externo_de_maturidade_em_IA_e_analytics","Altíssimo","Médio-alto","Muito alta",https://www.celent.com/insights/banco-do-brasil-excellence-in-harnessing-ai-for-differentiated-customer-centricity
Banco do Brasil,Capacitacao_IA_generativa_e_agentica_AcademIA_BB_2026,"O Banco do Brasil informou em 8 de junho de 2026 que o AcademIA BB 2026 já engajou mais de 36 mil funcionários, combinando IA generativa e agêntica com curadoria humana, governança e mais de 3 milhões de horas de treinamento acumuladas.","Ecossistema_proprio","Programa_institucional_de_capacitacao_em_IA","Altíssimo","Alto","Muito alta",https://www.bb.com.br/pbb/pagina-inicial/imprensa/n/69153/
Banco do Brasil,Boleto_com_Pix_Automatico_2026,"O Banco do Brasil anunciou em 28 de abril de 2026 o boleto com Pix Automático para empresas, permitindo autorização única do pagador, recorrência via QR Code e integração com a API de cobrança do banco.","Ecossistema_proprio","Nova_solucao_de_pagamentos_recorrentes_com_Pix","Altíssimo","Médio","Muito alta",https://www.bb.com.br/pbb/pagina-inicial/imprensa/n/69086/bb-lanca-boleto-com-pix-automatico-para-empresas
Banco do Brasil,IA_pagamentos_agenticos_com_Visa_contexto_sustentado,"Contexto sustentado: BB e Visa realizaram em 11 de março de 2026 a primeira transação agêntica no Brasil em ambiente de produção controlado, com autenticação, tokenização e controles de segurança voltados a pagamentos iniciados por agentes de IA.","Visa","Parceria_em_pagamentos_agenticos_com_controles_de_seguranca","Altíssimo","Médio","Alta",https://www.visa.com.br/sobre-a-visa/noticias-visa/nova-sala-de-imprensa/bb-visa-primeira-transacao-agentica-brasil.html
CAIXA,Sandbox_CAIXA_Global_Finance_2026,"Em 15 de junho de 2026, a CAIXA informou que o Sandbox CAIXA entrou na lista da Global Finance entre os melhores laboratórios de inovação financeira do mundo, com uso de experimentação segura e apoio da agente generativa Sandy.","Global_Finance","Reconhecimento_internacional_de_laboratorio_de_inovacao","Altíssimo","Médio","Muito alta",https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/06-JUNHO/CAIXA-alcanca-reconhecimento-internacional-com-laboratorio-de-inovacao.aspx
CAIXA,Universidade_Corporativa_digital_150_mil_usuarios,"A Capital Digital publicou em 26 de junho de 2026 que a Universidade Corporativa Caixa adotou novo sistema digital para cerca de 150 mil usuários, com recursos de inteligência artificial, metaverso e gamificação.","Capital_Digital;Luxortec","Cobertura_setorial_sobre_modernizacao_da_educacao_corporativa","Altíssimo","Médio","Muito alta",https://capitaldigital.com.br/universidade-corporativa-caixa-adota-novo-sistema-de-educacao-digital-para-150-mil-usuarios/
CAIXA,Conexidades_2026_inovacao_e_governanca,"Em 19 de junho de 2026, a CAIXA participou do Conexidades 2026 em agenda centrada em inovação e governança, posicionando soluções de crédito, infraestrutura, gestão pública e suporte técnico para municípios.","Multiplicidades;UVESP","Posicionamento_publico_em_agenda_de_inovacao_e_gestao_municipal","Alto","Médio","Alta",https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/06-JUNHO/CAIXA-entrega-Selo-Gest%C3%A3o-Sustent%C3%A1vel-e-refor%C3%A7a-apoio-a-munic%C3%ADpios-no-Conexidades-2026.aspx
CAIXA,Modernizacao_do_SINAPI_2026,"Em 19 de maio de 2026, a CAIXA lançou edital para selecionar até duas soluções para modernizar o SINAPI, com experimentação tecnológica e possibilidade de contratação de até R$ 3,2 milhões.","Ecossistema_proprio","Chamada_publica_para_modernizacao_de_base_critica","Altíssimo","Médio-alto","Alta",https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/05-MAIO/CAIXA-lan%C3%A7a-edital-p%C3%BAblico-para-modernizar-o-SINAPI.aspx
BRB,Nota_imprensa_compliance_PCDF_23_06_2026,"Em 23 de junho de 2026, o BRB informou que a operação da PCDF partiu de notícia-crime encaminhada pelo próprio banco após identificação de irregularidades em movimentações financeiras e indícios de descumprimento de normas de compliance.","PCDF","Acionamento_institucional_de_compliance_e_controles","Altíssimo","Altíssimo","Muito alta",https://novo.brb.com.br/releases-imprensa/page/5/
BRB,Governanca_formal_tecnologia_competencias_2026,"A página oficial de competências do BRB, atualizada em junho de 2026, explicita que a Diretoria Executiva de Tecnologia responde por transformação digital, infraestrutura de TI, governança de dados, automação bancária e defesa cibernética.","Ecossistema_proprio","Governanca_formal_de_tecnologia_e_ciberseguranca","Alto","Alto","Alta",https://novo.brb.com.br/servico-de-informacao-ao-cidadao/institucional-2/competencias/
